State,Deaths
Bihar,121
Telangana,42
Andhra Pradesh,29
Gujarat,8
Maharashtra,6
Rajasthan,3
Madhya Pradesh,2
Uttar Pradesh,2
Tamil Nadu,1
Kerala,1
Total,215
